Cookie Name,Top 15,Price,Prep level,Dough,Color,Serve Temp,Theme 1,Theme 2,Seasonal/Holiday
Almond Joy,No,$1.11,High,Chocolate/Oreo,Brown,Chilled,Candy,,None
Baked Butterbeer,Yes,$0.56,Very Low,Other,Brown,Warm,Candy,,None
Banana Bread,No,$0.74,Med,Other,Brown,Warm,Fruit,,None
Banana Cream Pie,Yes,$1.28,High,Other,Black/White,Chilled,Pie/Cake,Fruit,None
Berries & Cream,No,$1.16,Very High,Sugar/Pastry,Colored w/ Toppings,Warm,Fruit,,None
Better than Pumpkin Pie,No,$0.78,High,Sugar/Pastry,Black/White,Chilled,Pie/Cake,,Fall/Pumpkin
Better Than XXX,Yes,$1.40,High,Chocolate/Oreo,Black/White,Chilled,Pie/Cake,,None
Birthday Cake,No,$0.65,High,Signature/Vanilla,Brown,Warm,Traditional,Pie/Cake,None
Bisc-oreo,No,$0.78,Med,Buttered,Brown,Warm,Cookie Butter/Biscoff,Oreo,None
Biscadoodle,No,$0.84,Med,Other,Brown,Warm,Cookie Butter/Biscoff,,None
Biscoff Brownie,No,$1.03,High,Chocolate/Oreo,Brown,Warm,Cookie Butter/Biscoff,Traditional,None
Biscoff Explosion,Yes,$0.98,Med,Buttered,Brown,Warm,Cookie Butter/Biscoff,,None
Biscoff Gingerbread,No,$0.64,Med,Other,Colored w/ Toppings,Warm,Cookie Butter/Biscoff,,Christmas
Black Forest Cherry,No,$0.89,High,Chocolate/Oreo,Colored w/ Toppings,Chilled,Traditional,Fruit,None
Blueberry Poptart,No,$0.68,High,Sugar/Pastry,Colored w/ Toppings,Warm,Cereal/Breakfast,,None
Brookie,No,$0.95,Low,Chocolate/Oreo,Brown,Warm,Traditional,,None
Brookies and Cream,Yes,$0.96,Med,Chocolate/Oreo,Brown,Warm,Oreo,Traditional,None
Bueno,No,$1.62,Med,Signature/Vanilla,Brown,Warm,Candy,,None
Buttercake,No,$0.79,Low,Other,Black/White,Warm,Pie/Cake,,None
Butterfinger Cheesecake,No,$0.84,High,Sugar/Pastry,Black/White,Chilled,Candy,Cheesecake,None
Cadbunny Crave,No,$1.08,Med,Textured,Brown,Warm,Candy,,Spring/Easter
Cannoli Cookie,No,$0.69,High,Signature/Vanilla,Black/White,Chilled,Pie/Cake,,None
Caramel Apple Pie,No,$0.71,High,Textured,Brown,Warm,Pie/Cake,Fruit,Fall/Pumpkin
Caramel Chocolantern,No,$0.62,High,Other,Black/White,Warm,Traditional,,Halloween
Caramel Snickerdoodle,No,$0.59,Med,Other,Brown,Warm,Traditional,Candy,None
Carmelita,No,$0.69,Very Low,Textured,Brown,Warm,Traditional,Candy,None
Chilled Biscoff Oreo,No,$0.50,Med,Sugar/Pastry,Brown,Chilled,Cookie Butter/Biscoff,Oreo,None
Chilled Churro,No,$0.52,Med,Other,Brown,Chilled,Other,,None
Chilled Cookies and Cream,Yes,$0.77,High,Other,Black/White,Chilled,Oreo,,None
Chocolate Cupcake,No,$0.59,Med,Chocolate/Oreo,Black/White,Chilled,Traditional,,None
Chocolate Strawberry,No,$1.08,Med,Chocolate/Oreo,Rainbow,Chilled,Fruit,,None
Christmas Stuffed Cookies and Cream,No,$0.64,Med,Chocolate/Oreo,Colored w/ Toppings,Warm,Oreo,,Christmas
Caramel Fudge Sundae,No,$1.02,High,Chocolate/Oreo,Colored w/ Toppings,Chilled,Pie/Cake,Fruit,None
Carrot Cake,No,$0.75,High,Other,Brown,Warm,Pie/Cake,,Spring/Easter
Chai Eggnog,No,$0.56,Med,Other,Brown,Warm,Pie/Cake,Other,Christmas
Cherry Danish,No,$0.66,High,Other,Colored w/ Toppings,Warm,Traditional,Fruit,None
Chocolate Cream Pie,No,$1.00,High,Sugar/Pastry,Black/White,Chilled,Pie/Cake,,None
Chocolate Lava,No,$0.61,Med,Chocolate/Oreo,Brown,Warm,Traditional,,None
Chocolate Pistoffee,No,$0.96,Med,Signature/Vanilla,Brown,Warm,Traditional,Other,None
Chocolate Turtle,No,$1.07,High,Other,Brown,Warm,Traditional,,Christmas
Cinful White Toffee,No,$1.06,Low,Textured,Brown,Warm,Traditional,Candy,None
